"driverId","career_points","performance_category"
1,"4821","High"
2,"259","Medium"
3,"1595","High"
4,"2329","High"
5,"105","Low"
6,"9","Low"
7,"6","Low"
8,"1873","High"
9,"274","Medium"
10,"51","Low"
11,"44","Low"
12,"19","Low"
13,"1167","High"
14,"535","High"
15,"247","Medium"
16,"124","Low"
17,"1048","High"
18,"1235","High"
19,"0","Low"
20,"3098","High"
21,"275","Medium"
22,"658","High"
23,"329","High"
24,"26","Low"
25,"45","Low"
26,"0","Low"
27,"4","Low"
28,"0","Low"
29,"0","Low"
30,"1566","High"
31,"307","High"
32,"14","Low"
33,"7","Low"
34,"0","Low"
35,"235","Medium"
36,"0","Low"
37,"35","Low"
38,"0","Low"
39,"5","Low"
40,"3","Low"
41,"3","Low"
42,"8","Low"
43,"13","Low"
44,"76","Low"
45,"0","Low"
46,"0","Low"
47,"1","Low"
48,"5","Low"
49,"174","Medium"
50,"17","Low"
51,"1","Low"
52,"1","Low"
53,"0","Low"
54,"0","Low"
55,"241","Medium"
56,"191","Medium"
57,"420","High"
58,"0","Low"
59,"0","Low"
60,"0","Low"
61,"0","Low"
62,"0","Low"
63,"33","Low"
64,"10","Low"
65,"98","Low"
66,"0","Low"
67,"29","Low"
68,"0","Low"
69,"0","Low"
70,"1","Low"
71,"360","High"
72,"0","Low"
73,"0","Low"
74,"0","Low"
75,"2","Low"
76,"1","Low"
77,"385","High"
78,"7","Low"
79,"5","Low"
80,"0","Low"
81,"9","Low"
82,"0","Low"
83,"1","Low"
84,"98","Low"
85,"0","Low"
86,"0","Low"
87,"32","Low"
88,"8","Low"
89,"0","Low"
90,"15","Low"
91,"14","Low"
92,"5","Low"
93,"0","Low"
94,"18","Low"
95,"482","High"
96,"3","Low"
97,"0","Low"
98,"0","Low"
99,"1","Low"
100,"7","Low"
101,"0","Low"
102,"614","High"
103,"10","Low"
104,"12","Low"
105,"187","Medium"
106,"0","Low"
107,"0","Low"
108,"0","Low"
109,"10","Low"
110,"59","Low"
111,"0","Low"
112,"7","Low"
113,"0","Low"
114,"0","Low"
115,"0","Low"
116,"0","Low"
117,"799","High"
118,"71","Low"
119,"281","Medium"
120,"2","Low"
121,"7","Low"
122,"31","Low"
123,"132","Low"
124,"0","Low"
125,"0","Low"
126,"0","Low"
127,"10","Low"
128,"0","Low"
129,"1","Low"
130,"0","Low"
131,"17","Low"
132,"0","Low"
133,"6","Low"
134,"0","Low"
135,"0","Low"
136,"0","Low"
137,"486","High"
138,"16","Low"
139,"3","Low"
140,"88","Low"
141,"1","Low"
142,"0","Low"
143,"0","Low"
144,"0","Low"
145,"65","Low"
146,"0","Low"
147,"0","Low"
148,"0","Low"
149,"0","Low"
150,"0","Low"
151,"0","Low"
152,"14","Low"
153,"31","Low"
154,"391","High"
155,"125","Low"
156,"14","Low"
157,"4","Low"
158,"70","Low"
159,"1","Low"
160,"2","Low"
161,"0","Low"
162,"0","Low"
163,"181","Medium"
164,"0","Low"
165,"0","Low"
166,"11","Low"
167,"0","Low"
168,"0","Low"
169,"0","Low"
170,"23","Low"
171,"0","Low"
172,"228","Medium"
173,"122","Low"
174,"3","Low"
175,"103","Low"
176,"17","Low"
177,"160","Medium"
178,"206","Medium"
179,"0","Low"
180,"0","Low"
181,"2","Low"
182,"421","High"
183,"0","Low"
184,"5","Low"
185,"4","Low"
186,"0","Low"
187,"169","Medium"
188,"1","Low"
189,"0","Low"
190,"0","Low"
191,"0","Low"
192,"1","Low"
193,"2","Low"
194,"3","Low"
195,"0","Low"
196,"0","Low"
197,"32","Low"
198,"0","Low"
199,"310","High"
200,"72","Low"
201,"1","Low"
202,"101","Low"
203,"107","Low"
204,"0","Low"
205,"0","Low"
206,"15","Low"
207,"180","Medium"
208,"0","Low"
209,"0","Low"
210,"0","Low"
211,"0","Low"
212,"13","Low"
213,"0","Low"
214,"0","Low"
215,"0","Low"
216,"0","Low"
217,"0","Low"
218,"0","Low"
219,"21","Low"
220,"0","Low"
221,"141","Low"
222,"255","Medium"
223,"212","Medium"
224,"281","Medium"
225,"0","Low"
226,"0","Low"
227,"0","Low"
228,"0","Low"
229,"0","Low"
230,"16","Low"
231,"179","Medium"
232,"11","Low"
233,"29","Low"
234,"0","Low"
235,"181","Medium"
236,"0","Low"
237,"0","Low"
238,"206","Medium"
239,"0","Low"
240,"0","Low"
241,"0","Low"
242,"0","Low"
243,"14","Low"
244,"0","Low"
245,"0","Low"
246,"0","Low"
247,"0","Low"
248,"0","Low"
249,"0","Low"
250,"58","Low"
251,"0","Low"
252,"19","Low"
253,"0","Low"
254,"1","Low"
255,"31","Low"
256,"0","Low"
257,"0","Low"
258,"0","Low"
259,"0","Low"
260,"0","Low"
261,"0","Low"
262,"13","Low"
263,"0","Low"
264,"0","Low"
265,"0","Low"
266,"0","Low"
267,"0","Low"
268,"0","Low"
269,"0","Low"
270,"0","Low"
271,"0","Low"
272,"0","Low"
273,"0","Low"
274,"0","Low"
275,"1","Low"
276,"0","Low"
277,"0","Low"
278,"83","Low"
279,"0","Low"
280,"12","Low"
281,"0","Low"
282,"0","Low"
283,"0","Low"
284,"0","Low"
285,"0","Low"
286,"0","Low"
287,"0","Low"
288,"8","Low"
289,"289","Medium"
290,"3","Low"
291,"0","Low"
292,"0","Low"
293,"0","Low"
294,"1","Low"
