"constructorId","name","region"
1,"McLaren","European"
2,"BMW Sauber","European"
3,"Williams","European"
4,"Renault","European"
5,"Toro Rosso","European"
6,"Ferrari","European"
7,"Toyota","Non-European"
8,"Super Aguri","Non-European"
9,"Red Bull","European"
10,"Force India","Non-European"
11,"Honda","Non-European"
12,"Spyker","European"
13,"MF1","Non-European"
14,"Spyker MF1","European"
15,"Sauber","European"
16,"BAR","European"
17,"Jordan","Non-European"
18,"Minardi","European"
19,"Jaguar","European"
20,"Prost","European"
21,"Arrows","European"
22,"Benetton","European"
23,"Brawn","European"
24,"Stewart","European"
25,"Tyrrell","European"
26,"Lola","European"
27,"Ligier","European"
28,"Forti","European"
29,"Footwork","European"
30,"Pacific","European"
31,"Simtek","European"
32,"Team Lotus","European"
33,"Larrousse","European"
34,"Brabham","European"
35,"Dallara","European"
36,"Fondmetal","European"
37,"March","European"
38,"Andrea Moda","European"
39,"AGS","European"
40,"Lambo","European"
41,"Leyton House","European"
42,"Coloni","European"
44,"Euro Brun","European"
45,"Osella","European"
46,"Onyx","European"
47,"Life","European"
48,"Rial","European"
49,"Zakspeed","European"
50,"RAM","European"
51,"Alfa Romeo","European"
52,"Spirit","European"
53,"Toleman","European"
54,"ATS","European"
55,"Theodore","Non-European"
56,"Fittipaldi","Non-European"
57,"Ensign","European"
58,"Shadow","European"
59,"Wolf","Non-European"
60,"Merzario","European"
61,"Kauhsen","European"
62,"Rebaque","Non-European"
63,"Surtees","European"
64,"Hesketh","European"
65,"Martini","European"
66,"BRM","European"
67,"Penske","Non-European"
68,"LEC","European"
69,"McGuire","Non-European"
70,"Boro","European"
71,"Apollon","European"
72,"Kojima","Non-European"
73,"Parnelli","Non-European"
74,"Maki","Non-European"
75,"Embassy Hill","European"
76,"Lyncar","European"
77,"Trojan","European"
78,"Amon","Non-European"
79,"Token","European"
80,"Iso Marlboro","European"
81,"Tecno","European"
82,"Matra","European"
83,"Politoys","European"
84,"Connew","European"
85,"Bellasi","European"
86,"De Tomaso","European"
87,"Cooper","European"
88,"Eagle","Non-European"
89,"LDS","Non-European"
90,"Protos","European"
91,"Shannon","European"
92,"Scirocco","European"
93,"RE","Non-European"
94,"BRP","European"
95,"Porsche","European"
96,"Derrington","European"
97,"Gilby","European"
98,"Stebro","Non-European"
99,"Emeryson","European"
100,"ENB","European"
101,"JBW","European"
102,"Ferguson","European"
103,"MBM","European"
104,"Behra-Porsche","European"
105,"Maserati","European"
106,"Scarab","Non-European"
107,"Watson","Non-European"
108,"Epperly","Non-European"
109,"Phillips","Non-European"
110,"Lesovsky","Non-European"
111,"Trevis","Non-European"
112,"Meskowski","Non-European"
113,"Kurtis Kraft","Non-European"
114,"Kuzma","Non-European"
115,"Christensen","Non-European"
116,"Ewing","Non-European"
117,"Aston Martin","European"
118,"Vanwall","European"
119,"Moore","Non-European"
120,"Dunn","Non-European"
121,"Elder","Non-European"
122,"Sutton","Non-European"
123,"Fry","European"
124,"Tec-Mec","European"
125,"Connaught","European"
126,"Alta","European"
127,"OSCA","European"
128,"Gordini","European"
129,"Stevens","Non-European"
130,"Bugatti","European"
131,"Mercedes","European"
132,"Lancia","European"
133,"HWM","European"
134,"Schroeder","Non-European"
135,"Pawl","Non-European"
136,"Pankratz","Non-European"
137,"Arzani-Volpini","European"
138,"Nichels","Non-European"
139,"Bromme","Non-European"
140,"Klenk","European"
141,"Simca","European"
142,"Turner","Non-European"
143,"Del Roy","Non-European"
144,"Veritas","European"
145,"BMW","European"
146,"EMW","Non-European"
147,"AFM","European"
148,"Frazer Nash","European"
149,"Sherman","Non-European"
150,"Deidt","Non-European"
151,"ERA","European"
152,"Aston Butterworth","European"
153,"Cisitalia","European"
154,"Talbot-Lago","European"
155,"Hall","Non-European"
156,"Marchese","Non-European"
157,"Langley","Non-European"
158,"Rae","Non-European"
159,"Olson","Non-European"
160,"Wetteroth","Non-European"
161,"Adams","Non-European"
162,"Snowberger","Non-European"
163,"Milano","European"
164,"HRT","European"
167,"Cooper-Maserati","European"
166,"Virgin","European"
168,"Cooper-OSCA","European"
169,"Cooper-Borgward","European"
170,"Cooper-Climax","European"
171,"Cooper-Castellotti","European"
172,"Lotus-Climax","European"
173,"Lotus-Maserati","European"
174,"De Tomaso-Osca","European"
175,"De Tomaso-Alfa Romeo","European"
176,"Lotus-BRM","European"
177,"Lotus-Borgward","European"
178,"Cooper-Alfa Romeo","European"
179,"De Tomaso-Ferrari","European"
180,"Lotus-Ford","European"
181,"Brabham-BRM","European"
182,"Brabham-Ford","European"
183,"Brabham-Climax","European"
184,"LDS-Climax","Non-European"
185,"LDS-Alfa Romeo","Non-European"
186,"Cooper-Ford","European"
187,"McLaren-Ford","European"
188,"McLaren-Serenissima","European"
189,"Eagle-Climax","Non-European"
190,"Eagle-Weslake","Non-European"
191,"Brabham-Repco","European"
192,"Cooper-Ferrari","European"
193,"Cooper-ATS","European"
194,"McLaren-BRM","European"
195,"Cooper-BRM","European"
196,"Matra-Ford","European"
197,"BRM-Ford","European"
198,"McLaren-Alfa Romeo","European"
199,"March-Alfa Romeo","European"
200,"March-Ford","European"
201,"Lotus-Pratt &amp; Whitney","European"
202,"Shadow-Ford","European"
203,"Shadow-Matra","European"
204,"Brabham-Alfa Romeo","European"
205,"Lotus","Non-European"
206,"Marussia","Non-European"
207,"Caterham","Non-European"
208,"Lotus F1","European"
209,"Manor Marussia","European"
210,"Haas F1 Team","Non-European"
211,"Racing Point","European"
213,"AlphaTauri","European"
214,"Alpine F1 Team","European"
215,"RB F1 Team","European"
