"driverId","total_points"
1,"4821"
20,"3098"
830,"2913"
4,"2329"
8,"1873"
822,"1788"
3,"1595"
815,"1585"
30,"1566"
844,"1363"
817,"1320"
18,"1235"
832,"1204"
13,"1167"
17,"1048"
846,"950"
117,"799"
847,"664"
22,"658"
102,"614"
807,"563"
14,"535"
137,"486"
95,"482"
839,"440"
842,"426"
182,"421"
57,"420"
154,"391"
77,"385"
328,"360"
71,"360"
857,"347"
23,"329"
199,"310"
31,"307"
289,"289"
840,"286"
224,"281"
119,"281"
579,"280"
21,"275"
9,"274"
373,"274"
356,"261"
2,"259"
222,"255"
304,"248"
15,"247"
55,"241"
848,"238"
35,"235"
172,"228"
223,"212"
178,"206"
238,"206"
826,"202"
