"constructorId","constructor_name","first_win_year"
51,"Alfa Romeo",1950
113,"Kurtis Kraft",1950
6,"Ferrari",1951
114,"Kuzma",1952
105,"Maserati",1953
131,"Mercedes",1954
107,"Watson",1956
118,"Vanwall",1957
108,"Epperly",1957
87,"Cooper",1958
66,"BRM",1959
170,"Cooper-Climax",1959
32,"Team Lotus",1960
172,"Lotus-Climax",1961
95,"Porsche",1962
183,"Brabham-Climax",1964
11,"Honda",1965
191,"Brabham-Repco",1966
167,"Cooper-Maserati",1966
176,"Lotus-BRM",1966
180,"Lotus-Ford",1967
190,"Eagle-Weslake",1967
187,"McLaren-Ford",1968
196,"Matra-Ford",1968
182,"Brabham-Ford",1969
37,"March",1970
34,"Brabham",1970
25,"Tyrrell",1971
1,"McLaren",1972
64,"Hesketh",1975
67,"Penske",1976
58,"Shadow",1977
59,"Wolf",1977
27,"Ligier",1977
3,"Williams",1979
4,"Renault",1979
22,"Benetton",1986
17,"Jordan",1998
24,"Stewart",1999
2,"BMW Sauber",2008
5,"Toro Rosso",2008
9,"Red Bull",2009
23,"Brawn",2009
208,"Lotus F1",2012
213,"AlphaTauri",2020
211,"Racing Point",2020
214,"Alpine F1 Team",2021
