"year","race_name","circuitId","altitude"
1963,"Mexican Grand Prix",32,2227
1964,"Mexican Grand Prix",32,2227
1965,"Mexican Grand Prix",32,2227
1966,"Mexican Grand Prix",32,2227
1967,"Mexican Grand Prix",32,2227
1967,"South African Grand Prix",30,1460
1968,"Mexican Grand Prix",32,2227
1968,"South African Grand Prix",30,1460
1969,"Mexican Grand Prix",32,2227
1969,"South African Grand Prix",30,1460
1970,"Mexican Grand Prix",32,2227
1970,"South African Grand Prix",30,1460
1971,"South African Grand Prix",30,1460
1972,"South African Grand Prix",30,1460
1973,"South African Grand Prix",30,1460
1974,"South African Grand Prix",30,1460
1975,"South African Grand Prix",30,1460
1976,"South African Grand Prix",30,1460
1977,"South African Grand Prix",30,1460
1978,"South African Grand Prix",30,1460
1978,"Brazilian Grand Prix",36,1126
1979,"South African Grand Prix",30,1460
1980,"South African Grand Prix",30,1460
1981,"Brazilian Grand Prix",36,1126
1982,"South African Grand Prix",30,1460
1982,"Brazilian Grand Prix",36,1126
1983,"South African Grand Prix",30,1460
1983,"Brazilian Grand Prix",36,1126
1984,"South African Grand Prix",30,1460
1984,"Brazilian Grand Prix",36,1126
1985,"South African Grand Prix",30,1460
1985,"Brazilian Grand Prix",36,1126
1986,"Mexican Grand Prix",32,2227
1986,"Brazilian Grand Prix",36,1126
1987,"Mexican Grand Prix",32,2227
1987,"Brazilian Grand Prix",36,1126
1988,"Mexican Grand Prix",32,2227
1988,"Brazilian Grand Prix",36,1126
1989,"Mexican Grand Prix",32,2227
1989,"Brazilian Grand Prix",36,1126
1990,"Mexican Grand Prix",32,2227
1991,"Mexican Grand Prix",32,2227
1992,"Mexican Grand Prix",32,2227
1992,"South African Grand Prix",30,1460
1993,"South African Grand Prix",30,1460
2015,"Mexican Grand Prix",32,2227
2016,"Mexican Grand Prix",32,2227
2017,"Mexican Grand Prix",32,2227
2018,"Mexican Grand Prix",32,2227
2019,"Mexican Grand Prix",32,2227
2021,"Mexico City Grand Prix",32,2227
2022,"Mexico City Grand Prix",32,2227
2023,"Mexico City Grand Prix",32,2227
2024,"Mexico City Grand Prix",32,2227
